GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC02_EST_VC21,"Median earnings (dollars) for male; Estimate; Educational services, and health care and social assistance: - Educational services"
HC02_MOE_VC21,"Median earnings (dollars) for male; Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC03_EST_VC21,"Median earnings (dollars) for female; Estimate; Educational services, and health care and social assistance: - Educational services"
HC03_MOE_VC21,"Median earnings (dollars) for female; Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC04_EST_VC21,"Women's earnings as a percentage of men's earning; Estimate; Educational services, and health care and social assistance: - Educational services"
HC04_MOE_VC21,"Women's earnings as a percentage of men's earning; Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC01_EST_VC22,"Median earnings (dollars); Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC01_MOE_VC22,"Median earnings (dollars); Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC02_EST_VC22,"Median earnings (dollars) for male; Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC02_MOE_VC22,"Median earnings (dollars) for male; Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC03_EST_VC22,"Median earnings (dollars) for female; Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC03_MOE_VC22,"Median earnings (dollars) for female; Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC04_EST_VC22,"Women's earnings as a percentage of men's earning; Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC04_MOE_VC22,"Women's earnings as a percentage of men's earning; Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC01_EST_VC23,"Median earnings (dollars); Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC01_MOE_VC23,"Median earnings (dollars); Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC02_EST_VC23,"Median earnings (dollars) for male; Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC02_MOE_VC23,"Median earnings (dollars) for male; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC03_EST_VC23,"Median earnings (dollars) for female; Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC03_MOE_VC23,"Median earnings (dollars) for female; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC04_EST_VC23,"Women's earnings as a percentage of men's earning; Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC04_MOE_VC23,"Women's earnings as a percentage of men's earning; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC01_EST_VC24,"Median earnings (dollars); Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC01_MOE_VC24,"Median earnings (dollars); Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC02_EST_VC24,"Median earnings (dollars) for male; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC02_MOE_VC24,"Median earnings (dollars) for male; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC03_EST_VC24,"Median earnings (dollars) for female; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC03_MOE_VC24,"Median earnings (dollars) for female; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC04_EST_VC24,"Women's earnings as a percentage of men's earning; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC04_MOE_VC24,"Women's earnings as a percentage of men's earning; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC01_EST_VC25,"Median earnings (dollars); Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC01_MOE_VC25,"Median earnings (dollars); Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC02_EST_VC25,"Median earnings (dollars) for male; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC02_MOE_VC25,"Median earnings (dollars) for male; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC03_EST_VC25,"Median earnings (dollars) for female; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC03_MOE_VC25,"Median earnings (dollars) for female; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC04_EST_VC25,"Women's earnings as a percentage of men's earning; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC04_MOE_VC25,"Women's earnings as a percentage of men's earning; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC01_EST_VC26,"Median earnings (dollars); Estimate; Other services, except public administration"
HC01_MOE_VC26,"Median earnings (dollars); Margin of Error; Other services, except public administration"
HC02_EST_VC26,"Median earnings (dollars) for male; Estimate; Other services, except public administration"
HC02_MOE_VC26,"Median earnings (dollars) for male; Margin of Error; Other services, except public administration"
HC03_EST_VC26,"Median earnings (dollars) for female; Estimate; Other services, except public administration"
HC03_MOE_VC26,"Median earnings (dollars) for female; Margin of Error; Other services, except public administration"
HC04_EST_VC26,"Women's earnings as a percentage of men's earning; Estimate; Other services, except public administration"
HC04_MOE_VC26,"Women's earnings as a percentage of men's earning; Margin of Error; Other services, except public administration"
HC01_EST_VC27,Median earnings (dollars); Estimate; Public administration
HC01_MOE_VC27,Median earnings (dollars); Margin of Error; Public administration
HC02_EST_VC27,Median earnings (dollars) for male; Estimate; Public administration
HC02_MOE_VC27,Median earnings (dollars) for male; Margin of Error; Public administration
HC03_EST_VC27,Median earnings (dollars) for female; Estimate; Public administration
HC03_MOE_VC27,Median earnings (dollars) for female; Margin of Error; Public administration
HC04_EST_VC27,Women's earnings as a percentage of men's earning; Estimate; Public administration
HC04_MOE_VC27,Women's earnings as a percentage of men's earning; Margin of Error; Public administration
